,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius
2319,Kepler-1686 b,2432.0,2.62 Earths,13.752,2020,Super Earth,2020,2.62 Earths,1.426 x Earth,Unknown,K2-198,Transit,89.86,,13h15m22.51s,-06d27m53.6s,5212.9,0.8,0.76
2320,Kepler-1687 b,1377.0,3.38 Earths,15.473,2020,Super Earth,2020,3.38 Earths,1.656 x Earth,Unknown,,,,,,,,,
2321,Kepler-1688 b,1851.0,2.13 Earths,13.986,2020,Super Earth,2020,2.13 Earths,1.262 x Earth,Unknown,K2-199,Transit,,,13h55m36.41s,-06d08m10.1s,4648.0,0.73,0.68
2322,Kepler-1689 b,968.0,0.799 Earths,12.108,2020,Terrestrial,2020,0.799 Earths,0.947 x Earth,Unknown,,,,,,,,,
2323,Kepler-168 b,4554.0,2.73 Earths,14.605,2014,Super Earth,2014,2.73 Earths,1.46 x Earth,0.056 AU,K2-199,Transit,,,13h55m36.41s,-06d08m10.1s,4648.0,0.73,0.68
2324,Kepler-168 c,4554.0,7.7 Earths,14.605,2014,Neptune-like,2014,7.7 Earths,0.24 x Jupiter,0.116 AU,,,,,,,,,
2325,Kepler-1690 b,2343.0,8.3 Earths,14.642,2020,Neptune-like,2020,8.3 Earths,0.251 x Jupiter,Unknown,K2-200,Transit,87.968,,13h29m00.38s,-04d36m36.8s,5233.0,0.86,0.79
2326,Kepler-1691 b,4291.0,4.02 Earths,14.881,2020,Super Earth,2020,4.02 Earths,1.835 x Earth,Unknown,,,,,,,,,
2327,Kepler-1692 b,1961.0,1.42 Earths,14.505,2020,Super Earth,2020,1.42 Earths,1.112 x Earth,Unknown,K2-201,Transit,84.414,,19h34m14.58s,-23d07m51.7s,5507.0,0.96,0.88
2328,Kepler-1693 b,2534.0,2.21 Earths,14.744,2020,Super Earth,2020,2.21 Earths,1.289 x Earth,Unknown,,,,,,,,,
