,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius
3290,Kepler-610 c,3631.0,10.9 Earths,14.77,2016,Neptune-like,2016,10.9 Earths,0.294 x Jupiter,Unknown,,,,,,,,,
3291,Kepler-611 b,2955.0,3.36 Earths,14.572,2016,Super Earth,2016,3.36 Earths,1.65 x Earth,Unknown,Kepler-1162,Transit,,,18h53m10.11s,+45d26m02.8s,5390.0,0.89,0.84
3292,Kepler-612 b,3040.0,8.45 Earths,14.91,2016,Neptune-like,2016,8.45 Earths,0.253 x Jupiter,Unknown,,,,,,,,,
3293,Kepler-613 b,2818.0,5.86 Earths,14.589,2016,Neptune-like,2016,5.86 Earths,0.204 x Jupiter,Unknown,Kepler-1163,Transit,,,19h20m56.60s,+50d01m48.3s,6302.0,1.22,1.35
3294,Kepler-614 b,1863.0,6.3 Earths,14.544,2016,Neptune-like,2016,6.3 Earths,0.213 x Jupiter,Unknown,,,,,,,,,
3295,Kepler-615 b,1076.0,3.68 Earths,14.349,2016,Super Earth,2016,3.68 Earths,1.74 x Earth,Unknown,Kepler-1164,Transit,,,19h10m07.11s,+38d53m40.2s,5183.0,0.85,0.79
3296,Kepler-616 b,3324.0,6.48 Earths,14.947,2016,Neptune-like,2016,6.48 Earths,0.217 x Jupiter,Unknown,,,,,,,,,
3297,Kepler-616 c,3324.0,11.5 Earths,14.947,2016,Neptune-like,2016,11.5 Earths,0.304 x Jupiter,Unknown,Kepler-1165,Transit,,,19h07m53.10s,+44d42m29.9s,6080.0,1.13,1.18
3298,Kepler-617 b,489.0,2.3 Earths,14.828,2016,Super Earth,2016,2.3 Earths,1.32 x Earth,Unknown,,,,,,,,,
3299,Kepler-618 b,3637.0,7.27 Earths,14.804,2016,Neptune-like,2016,7.27 Earths,0.232 x Jupiter,Unknown,Kepler-1166,Transit,,,19h21m23.64s,+50d54m10.3s,5446.0,0.9,0.86
3300,Kepler-619 b,3624.0,10.1 Earths,14.67,2016,Neptune-like,2016,10.1 Earths,0.282 x Jupiter,Unknown,,,,,,,,,
3301,Kepler-619 c,3624.0,3.5 Earths,14.67,2016,Super Earth,2016,3.5 Earths,1.69 x Earth,Unknown,Kepler-1167,Transit,,,19h53m12.65s,+47d41m38.5s,4971.0,0.79,0.75
3302,Kepler-61 b,1103.0,5.27 Earths,15.043,2013,Neptune-like,2013,5.27 Earths,2.15 x Earth,0.24861 AU,,,,,,,,,
3303,Kepler-620 b,4048.0,11 Earths,14.638,2016,Neptune-like,2016,11 Earths,0.296 x Jupiter,Unknown,Kepler-1168,Transit,,,19h09m11.45s,+47d27m19.6s,5157.0,0.87,0.82
3304,Kepler-621 b,1269.0,5.9 Earths,14.896,2016,Neptune-like,2016,5.9 Earths,0.205 x Jupiter,Unknown,,,,,,,,,
3305,Kepler-622 b,845.0,5.18 Earths,14.652,2016,Neptune-like,2016,5.18 Earths,2.13 x Earth,Unknown,Kepler-1169,Transit,,,19h39m38.78s,+46d29m29.3s,6191.0,1.24,1.23
3306,Kepler-623 b,2645.0,9.32 Earths,14.963,2016,Neptune-like,2016,9.32 Earths,0.269 x Jupiter,Unknown,,,,,,,,,
3307,Kepler-624 b,2385.0,5.95 Earths,13.457,2016,Neptune-like,2016,5.95 Earths,0.206 x Jupiter,Unknown,Kepler-117,Transit,88.74,0.3,19h15m10.33s,+48d02m24.8s,6150.0,1.13,1.61
3308,Kepler-625 b,1638.0,4.62 Earths,13.264,2016,Super Earth,2016,4.62 Earths,1.99 x Earth,Unknown,,,,,,,,,
3309,Kepler-625 c,1638.0,1.16 Earths,13.264,2016,Super Earth,2016,1.16 Earths,1.05 x Earth,Unknown,Kepler-117,Transit,89.64,1.74,19h15m10.33s,+48d02m24.8s,6150.0,1.13,1.61
3310,Kepler-626 b,2251.0,5.86 Earths,13.943,2016,Neptune-like,2016,5.86 Earths,0.204 x Jupiter,Unknown,,,,,,,,,
3311,Kepler-627 b,3728.0,13.4 Earths,13.949,2016,Neptune-like,2016,13.4 Earths,0.333 x Jupiter,Unknown,Kepler-1170,Transit,,,19h28m40.46s,+43d46m46.8s,5069.0,0.8,0.76
3312,Kepler-628 b,1889.0,0.168 Jupiters,13.056,2016,Gas Giant,2016,0.168 Jupiters,0.749 x Jupiter,Unknown,,,,,,,,,
3313,Kepler-629 b,1249.0,2.48 Earths,13.358,2016,Super Earth,2016,2.48 Earths,1.38 x Earth,Unknown,Kepler-1171,Transit,,,19h39m50.14s,+38d35m29.7s,7044.0,1.58,1.95
3314,Kepler-62 b,1200.0,9 Earths,13.72,2013,Super Earth,2013,9 Earths,1.31 x Earth,0.0553 AU,,,,,,,,,
3315,Kepler-62 c,1200.0,4 Earths,13.72,2013,Terrestrial,2013,4 Earths,0.54 x Earth,0.0929 AU,Kepler-1172,Transit,,,19h21m53.88s,+37d45m59.8s,5558.0,0.92,0.89
3316,Kepler-62 d,1200.0,14 Earths,13.72,2013,Neptune-like,2013,14 Earths,1.95 x Earth,0.12 AU,,,,,,,,,
3317,Kepler-62 e,1200.0,36 Earths,13.72,2013,Super Earth,2013,36 Earths,1.61 x Earth,0.427 AU,Kepler-1173,Transit,,,19h32m31.46s,+45d39m48.8s,5252.0,0.86,0.82
3318,Kepler-62 f,1200.0,35 Earths,13.72,2013,Super Earth,2013,35 Earths,1.41 x Earth,0.718 AU,,,,,,,,,
3319,Kepler-630 b,2143.0,10.2 Earths,13.852,2016,Neptune-like,2016,10.2 Earths,0.284 x Jupiter,Unknown,Kepler-1174,Transit,,,18h47m19.55s,+42d17m56.1s,5936.0,1.04,1.04
3320,Kepler-631 b,2750.0,8.75 Earths,13.493,2016,Neptune-like,2016,8.75 Earths,0.259 x Jupiter,Unknown,,,,,,,,,
3321,Kepler-632 b,1138.0,5.52 Earths,13.332,2016,Neptune-like,2016,5.52 Earths,2.21 x Earth,Unknown,Kepler-1175,Transit,,,19h16m34.25s,+46d48m46.4s,5453.0,0.9,0.86
3322,Kepler-633 b,2068.0,3.29 Earths,13.716,2016,Super Earth,2016,3.29 Earths,1.63 x Earth,Unknown,,,,,,,,,
3323,Kepler-634 b,2469.0,4.23 Earths,13.492,2016,Super Earth,2016,4.23 Earths,1.89 x Earth,Unknown,Kepler-1176,Transit,,,19h51m40.73s,+45d16m27.0s,5844.0,1.01,1.02
3324,Kepler-635 b,2694.0,7.46 Earths,13.264,2016,Neptune-like,2016,7.46 Earths,0.236 x Jupiter,Unknown,,,,,,,,,
3325,Kepler-636 b,1112.0,18.1 Earths,13.653,2016,Neptune-like,2016,18.1 Earths,0.397 x Jupiter,Unknown,Kepler-1177,Transit,,,19h06m41.14s,+49d24m22.6s,5712.0,0.98,0.97
3326,Kepler-637 b,5138.0,20.2 Earths,13.329,2016,Neptune-like,2016,20.2 Earths,0.424 x Jupiter,Unknown,,,,,,,,,
3327,Kepler-638 b,1390.0,4.01 Earths,13.519,2016,Super Earth,2016,4.01 Earths,1.83 x Earth,Unknown,Kepler-1178,Transit,,,19h13m49.45s,+45d48m07.6s,4990.0,0.8,0.75
3328,Kepler-639 b,2218.0,6.26 Earths,13.269,2016,Neptune-like,2016,6.26 Earths,0.212 x Jupiter,Unknown,,,,,,,,,
3329,Kepler-63 b,652.0,0.378 Jupiters,12.02,2013,Gas Giant,2013,0.378 Jupiters,0.545 x Jupiter,0.08 AU,Kepler-1179,Transit,,,18h56m23.43s,+47d48m38.3s,5212.0,0.84,0.81
3330,Kepler-640 b,1755.0,7.08 Earths,13.687,2016,Neptune-like,2016,7.08 Earths,0.228 x Jupiter,Unknown,,,,,,,,,
3331,Kepler-641 b,2195.0,4.08 Earths,13.763,2016,Super Earth,2016,4.08 Earths,1.85 x Earth,Unknown,Kepler-118,Transit,,,19h56m51.16s,+41d25m29.4s,5274.0,,1.09
3332,Kepler-642 b,3334.0,8.75 Earths,13.295,2016,Neptune-like,2016,8.75 Earths,0.259 x Jupiter,Unknown,,,,,,,,,
3333,Kepler-643 b,3357.0,1.01 Jupiters,13.769,2016,Gas Giant,2016,1.01 Jupiters,0.906 x Jupiter,0.126 AU,Kepler-118,Transit,,,19h56m51.16s,+41d25m29.4s,5274.0,,1.09
3334,Kepler-644 b,4609.0,10.1 Earths,13.96,2016,Neptune-like,2016,10.1 Earths,0.281 x Jupiter,Unknown,,,,,,,,,
3335,Kepler-645 b,2939.0,5.06 Earths,14.031,2016,Neptune-like,2016,5.06 Earths,2.1 x Earth,Unknown,Kepler-1180,Transit,,,19h43m33.00s,+43d09m21.8s,6077.0,1.09,1.14
3336,Kepler-646 b,1673.0,4.62 Earths,13.765,2016,Super Earth,2016,4.62 Earths,1.99 x Earth,Unknown,,,,,,,,,
3337,Kepler-647 b,2574.0,1.71 Earths,13.935,2016,Super Earth,2016,1.71 Earths,1.17 x Earth,Unknown,Kepler-1181,Transit,,,19h18m59.36s,+39d31m24.5s,6176.0,1.17,1.3
3338,Kepler-647 c,2574.0,15.1 Earths,13.935,2020,Neptune-like,2020,15.1 Earths,0.357 x Jupiter,Unknown,,,,,,,,,
3339,Kepler-648 b,2169.0,10.5 Earths,13.915,2016,Neptune-like,2016,10.5 Earths,0.287 x Jupiter,Unknown,Kepler-1182,Transit,,,19h45m13.91s,+43d49m16.9s,5924.0,1.04,1.05
3340,Kepler-649 b,1713.0,5.73 Earths,13.394,2016,Neptune-like,2016,5.73 Earths,0.202 x Jupiter,Unknown,,,,,,,,,
3341,Kepler-650 b,2626.0,9.06 Earths,14.124,2016,Neptune-like,2016,9.06 Earths,0.264 x Jupiter,Unknown,Kepler-1183,Transit,,,19h28m55.78s,+38d53m32.0s,5765.0,1.0,0.99
3342,Kepler-651 b,1752.0,6.21 Earths,13.962,2016,Neptune-like,2016,6.21 Earths,0.211 x Jupiter,Unknown,,,,,,,,,
3343,Kepler-652 b,1380.0,6.76 Earths,13.435,2016,Neptune-like,2016,6.76 Earths,0.222 x Jupiter,Unknown,Kepler-1184,Transit,,,19h25m07.69s,+46d57m57.6s,5983.0,1.05,1.07
3344,Kepler-653 b,1934.0,4.46 Earths,13.346,2016,Super Earth,2016,4.46 Earths,1.95 x Earth,Unknown,,,,,,,,,
3345,Kepler-653 c,1934.0,0.399 Earths,13.346,2016,Terrestrial,2016,0.399 Earths,0.78 x Earth,Unknown,Kepler-1185,Transit,,,19h08m57.88s,+39d19m57.9s,5622.0,0.96,0.87
3346,Kepler-654 b,2156.0,4.94 Earths,13.661,2016,Super Earth,2016,4.94 Earths,2.07 x Earth,Unknown,,,,,,,,,
3347,Kepler-655 b,2554.0,7.8 Earths,13.464,2016,Neptune-like,2016,7.8 Earths,0.242 x Jupiter,Unknown,Kepler-1186,Transit,,,19h13m55.11s,+47d06m06.4s,5635.0,0.95,0.93
3348,Kepler-656 b,2828.0,9.91 Earths,15.337,2016,Neptune-like,2016,9.91 Earths,0.278 x Jupiter,Unknown,,,,,,,,,
3349,Kepler-657 b,4058.0,12.2 Earths,15.319,2016,Neptune-like,2016,12.2 Earths,0.314 x Jupiter,Unknown,Kepler-1187,Transit,,,19h07m34.08s,+38d19m06.8s,5975.0,1.06,1.09
3350,Kepler-658 b,1112.0,3.29 Earths,15.491,2016,Super Earth,2016,3.29 Earths,1.63 x Earth,Unknown,,,,,,,,,
3351,Kepler-659 b,2244.0,6.8 Earths,15.566,2016,Neptune-like,2016,6.8 Earths,0.223 x Jupiter,Unknown,Kepler-1188,Transit,,,18h52m24.92s,+43d08m53.0s,5913.0,1.04,1.06
3352,Kepler-65 b,999.0,2.4 Earths,10.966,2012,Super Earth,2012,2.4 Earths,1.42 x Earth,0.035 AU,,,,,,,,,
3353,Kepler-65 c,999.0,5.4 Earths,10.966,2012,Neptune-like,2012,5.4 Earths,0.23 x Jupiter,0.068 AU,Kepler-1189,Transit,,,19h53m42.32s,+47d56m48.4s,6012.0,1.11,1.16
3354,Kepler-65 d,999.0,4.14 Earths,10.966,2012,Super Earth,2012,4.14 Earths,1.52 x Earth,0.084 AU,,,,,,,,,
3355,Kepler-65 e,999.0,0.82 Jupiters,10.966,2019,Gas Giant,2019,0.82 Jupiters,1.24 x Jupiter,Unknown,Kepler-119,Transit,,,19h43m47.14s,+42d39m32.1s,5595.0,,0.84
3356,Kepler-660 b,1840.0,7.13 Earths,15.264,2016,Neptune-like,2016,7.13 Earths,0.229 x Jupiter,Unknown,,,,,,,,,
3357,Kepler-661 b,1820.0,9.64 Earths,15.8,2016,Neptune-like,2016,9.64 Earths,0.274 x Jupiter,Unknown,Kepler-119,Transit,,,19h43m47.14s,+42d39m32.1s,5595.0,,0.84
3358,Kepler-662 b,2091.0,5.39 Earths,15.374,2016,Neptune-like,2016,5.39 Earths,2.18 x Earth,Unknown,,,,,,,,,
3359,Kepler-663 b,3360.0,7.27 Earths,15.869,2016,Neptune-like,2016,7.27 Earths,0.232 x Jupiter,Unknown,Kepler-1190,Transit,,,18h59m59.91s,+49d28m47.9s,4730.0,0.76,0.72
3360,Kepler-664 b,4521.0,7.56 Earths,15.499,2016,Neptune-like,2016,7.56 Earths,0.237 x Jupiter,Unknown,,,,,,,,,
3361,Kepler-665 b,2124.0,7.27 Earths,15.402,2016,Neptune-like,2016,7.27 Earths,0.232 x Jupiter,Unknown,Kepler-1191,Transit,,,19h26m37.87s,+48d00m33.5s,5308.0,0.85,0.81
3362,Kepler-666 b,4338.0,6.35 Earths,15.341,2016,Neptune-like,2016,6.35 Earths,0.214 x Jupiter,Unknown,,,,,,,,,
3363,Kepler-667 b,2959.0,20.1 Earths,15.362,2016,Neptune-like,2016,20.1 Earths,0.422 x Jupiter,Unknown,Kepler-1192,Transit,,,18h48m33.74s,+43d53m47.7s,5438.0,0.86,0.83
3364,Kepler-668 b,2861.0,7.75 Earths,15.293,2016,Neptune-like,2016,7.75 Earths,0.241 x Jupiter,Unknown,,,,,,,,,
3365,Kepler-669 b,5800.0,20.8 Earths,15.482,2016,Neptune-like,2016,20.8 Earths,0.431 x Jupiter,Unknown,Kepler-1193,Transit,,,19h12m34.74s,+51d16m32.3s,5908.0,1.08,1.21
3366,Kepler-66 b,3611.0,8.25 Earths,15.3,2013,Neptune-like,2013,8.25 Earths,0.25 x Jupiter,0.1352 AU,,,,,,,,,
3367,Kepler-670 b,3197.0,Unknown,15.027,2016,Gas Giant,2016,Unknown,1.176 x Jupiter,Unknown,Kepler-1194,Transit,,,19h26m47.89s,+38d08m43.0s,5590.0,0.94,0.92
3368,Kepler-671 b,3715.0,7.7 Earths,15.358,2016,Neptune-like,2016,7.7 Earths,0.24 x Jupiter,Unknown,,,,,,,,,
3369,Kepler-672 b,3298.0,6.8 Earths,15.131,2016,Neptune-like,2016,6.8 Earths,0.223 x Jupiter,Unknown,Kepler-1195,Transit,,,18h57m24.26s,+40d51m10.7s,4965.0,0.74,0.71
3370,Kepler-673 b,3190.0,34.8 Earths,15.506,2016,Neptune-like,2016,34.8 Earths,0.583 x Jupiter,Unknown,,,,,,,,,
3371,Kepler-674 b,985.0,3.5 Earths,15.127,2016,Super Earth,2016,3.5 Earths,1.69 x Earth,Unknown,Kepler-1196,Transit,,,19h29m28.69s,+43d54m38.9s,5756.0,0.98,0.97
3372,Kepler-675 b,2124.0,6.53 Earths,15.336,2016,Neptune-like,2016,6.53 Earths,0.218 x Jupiter,Unknown,,,,,,,,,
3373,Kepler-676 b,793.0,9.48 Earths,15.879,2016,Neptune-like,2016,9.48 Earths,0.271 x Jupiter,Unknown,Kepler-1197,Transit,,,19h26m40.63s,+42d35m26.6s,4708.0,0.78,0.72
3374,Kepler-677 b,3849.0,25 Earths,15.297,2016,Neptune-like,2016,25 Earths,0.48 x Jupiter,Unknown,,,,,,,,,
3375,Kepler-678 b,2854.0,23.1 Earths,15.061,2016,Neptune-like,2016,23.1 Earths,0.459 x Jupiter,Unknown,Kepler-1198,Transit,,,19h15m20.16s,+44d50m17.7s,5517.0,0.93,0.9
3376,Kepler-679 b,3158.0,9.32 Earths,15.529,2016,Neptune-like,2016,9.32 Earths,0.269 x Jupiter,Unknown,,,,,,,,,
3377,Kepler-67 b,3611.0,8.96 Earths,16.4,2013,Neptune-like,2013,8.96 Earths,0.262 x Jupiter,0.1171 AU,Kepler-1199,Transit,,,19h34m54.21s,+47d14m49.4s,5889.0,0.94,1.17
3378,Kepler-680 b,4378.0,6.44 Earths,15.215,2016,Neptune-like,2016,6.44 Earths,0.216 x Jupiter,Unknown,,,,,,,,,
3379,Kepler-681 b,2172.0,9.69 Earths,15.227,2016,Neptune-like,2016,9.69 Earths,0.275 x Jupiter,Unknown,Kepler-12,Transit,88.796,0.11,19h04m58.42s,+50d02m25.4s,5947.0,1.17,1.48
3380,Kepler-682 b,3102.0,0.134 Jupiters,15.117,2016,Gas Giant,2016,0.134 Jupiters,0.658 x Jupiter,Unknown,,,,,,,,,
3381,Kepler-683 b,3184.0,4.54 Earths,15.001,2016,Super Earth,2016,4.54 Earths,1.97 x Earth,Unknown,Kepler-120,Transit,,,19h11m33.99s,+39d20m20.8s,4096.0,,0.53
3382,Kepler-684 b,3477.0,11.2 Earths,15.579,2016,Neptune-like,2016,11.2 Earths,0.3 x Jupiter,Unknown,,,,,,,,,
3383,Kepler-685 b,3735.0,0.248 Jupiters,15.019,2016,Gas Giant,2016,0.248 Jupiters,0.944 x Jupiter,Unknown,Kepler-120,Transit,,,19h11m33.99s,+39d20m20.8s,4096.0,,0.53
3384,Kepler-686 b,3924.0,Unknown,15.524,2016,Gas Giant,2016,Unknown,1.084 x Jupiter,Unknown,,,,,,,,,
3385,Kepler-687 b,2049.0,12.2 Earths,15.394,2016,Neptune-like,2016,12.2 Earths,0.314 x Jupiter,Unknown,Kepler-1200,Transit,,,19h46m24.83s,+44d07m45.3s,4612.0,0.74,0.7
3386,Kepler-688 b,4068.0,0.216 Jupiters,15.732,2016,Gas Giant,2016,0.216 Jupiters,0.871 x Jupiter,Unknown,,,,,,,,,
3387,Kepler-689 b,3406.0,8.7 Earths,15.592,2016,Neptune-like,2016,8.7 Earths,0.258 x Jupiter,Unknown,Kepler-1201,Transit,,,19h38m27.56s,+40d49m59.4s,6177.0,1.15,1.24
3388,Kepler-68 b,472.0,7.65 Earths,9.99,2013,Neptune-like,2013,7.65 Earths,0.21 x Jupiter,0.0617 AU,,,,,,,,,
3389,Kepler-68 c,472.0,2.04 Earths,9.99,2013,Super Earth,2013,2.04 Earths,1.0 x Earth,0.09059 AU,Kepler-1202,Transit,,,19h29m09.75s,+44d39m11.7s,5834.0,1.03,1.04
3390,Kepler-68 d,472.0,0.84007 Jupiters,9.99,2013,Gas Giant,2013,0.84007 Jupiters,1.24 x Jupiter,1.4 AU,,,,,,,,,
3391,Kepler-690 b,5392.0,29.6 Earths,15.672,2016,Neptune-like,2016,29.6 Earths,0.531 x Jupiter,Unknown,Kepler-1203,Transit,,,19h31m05.61s,+44d10m41.3s,4105.0,0.64,0.61
3392,Kepler-691 b,780.0,5.02 Earths,15.838,2016,Super Earth,2016,5.02 Earths,2.09 x Earth,Unknown,,,,,,,,,
3393,Kepler-692 b,3262.0,9.85 Earths,15.55,2016,Neptune-like,2016,9.85 Earths,0.277 x Jupiter,Unknown,Kepler-1204,Transit,,,19h17m45.96s,+42d29m53.3s,5825.0,1.03,1.03
3394,Kepler-693 b,3269.0,0.232 Jupiters,16.414,2016,Gas Giant,2016,0.232 Jupiters,0.908 x Jupiter,Unknown,,,,,,,,,
3395,Kepler-694 b,3337.0,8.25 Earths,15.086,2016,Neptune-like,2016,8.25 Earths,0.25 x Jupiter,Unknown,Kepler-1205,Transit,,,19h21m07.13s,+41d30m54.2s,5226.0,0.84,0.81
3396,Kepler-695 b,2022.0,0.196 Jupiters,15.113,2016,Gas Giant,2016,0.196 Jupiters,0.822 x Jupiter,Unknown,,,,,,,,,
3397,Kepler-696 b,4192.0,31.3 Earths,15.239,2016,Neptune-like,2016,31.3 Earths,0.548 x Jupiter,Unknown,Kepler-1206,Transit,,,19h43m45.22s,+49d47m28.1s,4877.0,0.8,0.75
3398,Kepler-697 b,3559.0,16 Earths,15.546,2016,Neptune-like,2016,16 Earths,0.368 x Jupiter,Unknown,,,,,,,,,
3399,Kepler-698 b,3702.0,13.1 Earths,15.432,2016,Neptune-like,2016,13.1 Earths,0.328 x Jupiter,Unknown,Kepler-1207,Transit,,,19h40m15.42s,+49d21m32.4s,5909.0,1.06,1.06
3400,Kepler-699 b,2897.0,Unknown,15.474,2016,Gas Giant,2016,Unknown,1.259 x Jupiter,Unknown,,,,,,,,,
3401,Kepler-69 b,2435.0,5.65 Earths,14.0,2013,Neptune-like,2013,5.65 Earths,0.2 x Jupiter,0.094 AU,Kepler-1208,Transit,,,19h27m31.50s,+44d33m20.6s,5001.0,0.8,0.76
3402,Kepler-69 c,2435.0,3.57 Earths,14.0,2013,Super Earth,2013,3.57 Earths,1.71 x Earth,0.64 AU,,,,,,,,,
3403,Kepler-6 b,1948.0,0.668 Jupiters,13.171,2009,Gas Giant,2009,0.668 Jupiters,1.304 x Jupiter,0.04852 AU,Kepler-1209,Transit,,,19h10m20.37s,+49d09m17.3s,6210.0,1.23,1.38
3404,Kepler-700 b,3461.0,30 Earths,15.192,2016,Neptune-like,2016,30 Earths,0.534 x Jupiter,Unknown,,,,,,,,,
3405,Kepler-701 b,2463.0,8.45 Earths,14.968,2016,Neptune-like,2016,8.45 Earths,0.253 x Jupiter,Unknown,Kepler-121,Transit,,,19h04m38.90s,+39d40m40.8s,5311.0,,0.7
3406,Kepler-702 b,2910.0,0.194 Jupiters,15.31,2016,Gas Giant,2016,0.194 Jupiters,0.818 x Jupiter,Unknown,,,,,,,,,
3407,Kepler-703 b,4834.0,0.161 Jupiters,15.253,2016,Gas Giant,2016,0.161 Jupiters,0.732 x Jupiter,Unknown,Kepler-121,Transit,,,19h04m38.90s,+39d40m40.8s,5311.0,,0.7
3408,Kepler-704 b,3438.0,7.32 Earths,15.249,2016,Neptune-like,2016,7.32 Earths,0.233 x Jupiter,Unknown,,,,,,,,,
3409,Kepler-705 b,819.0,5.1 Earths,15.852,2016,Neptune-like,2016,5.1 Earths,2.11 x Earth,0.232 AU,Kepler-1210,Transit,,,19h31m19.71s,+48d13m09.7s,5568.0,0.94,0.92
3410,Kepler-706 b,2642.0,Unknown,15.166,2016,Gas Giant,2016,Unknown,1.175 x Jupiter,Unknown,,,,,,,,,
3411,Kepler-707 b,2042.0,2.33 Earths,14.997,2016,Super Earth,2016,2.33 Earths,1.33 x Earth,Unknown,Kepler-1211,Transit,,,19h02m52.99s,+40d51m25.1s,5705.0,0.96,0.94
3412,Kepler-708 b,4048.0,8.91 Earths,15.508,2016,Neptune-like,2016,8.91 Earths,0.261 x Jupiter,Unknown,,,,,,,,,
3413,Kepler-709 b,2179.0,8.85 Earths,15.197,2016,Neptune-like,2016,8.85 Earths,0.261 x Jupiter,Unknown,Kepler-1212,Transit,,,19h47m24.82s,+50d02m14.5s,6051.0,1.1,1.15
3414,Kepler-710 b,2998.0,4.19 Earths,15.011,2016,Super Earth,2016,4.19 Earths,1.88 x Earth,Unknown,,,,,,,,,
3415,Kepler-711 b,2166.0,11.5 Earths,15.329,2016,Neptune-like,2016,11.5 Earths,0.304 x Jupiter,Unknown,Kepler-1213,Transit,,,19h17m56.60s,+50d56m39.0s,6050.0,1.14,1.21
3416,Kepler-712 b,3079.0,11.5 Earths,15.854,2016,Neptune-like,2016,11.5 Earths,0.304 x Jupiter,Unknown,,,,,,,,,
3417,Kepler-712 c,3079.0,21 Earths,15.854,2016,Neptune-like,2016,21 Earths,0.433 x Jupiter,Unknown,Kepler-1214,Transit,,,19h00m34.23s,+49d48m02.4s,5130.0,0.85,0.8
3418,Kepler-713 b,3272.0,6.71 Earths,15.019,2016,Neptune-like,2016,6.71 Earths,0.221 x Jupiter,Unknown,,,,,,,,,
3419,Kepler-714 b,4763.0,0.213 Jupiters,15.241,2016,Gas Giant,2016,0.213 Jupiters,0.863 x Jupiter,Unknown,Kepler-1215,Transit,,,19h49m51.27s,+48d10m53.1s,5616.0,0.95,0.93
3420,Kepler-715 b,3960.0,13.5 Earths,15.033,2016,Neptune-like,2016,13.5 Earths,0.335 x Jupiter,Unknown,,,,,,,,,
3421,Kepler-716 b,2202.0,8.75 Earths,15.156,2016,Neptune-like,2016,8.75 Earths,0.259 x Jupiter,Unknown,Kepler-1216,Transit,,,19h09m37.28s,+45d55m04.8s,5743.0,0.99,0.98
3422,Kepler-716 c,2202.0,2.52 Earths,15.156,2020,Super Earth,2020,2.52 Earths,1.393 x Earth,Unknown,,,,,,,,,
3423,Kepler-717 b,3673.0,6.44 Earths,15.624,2016,Neptune-like,2016,6.44 Earths,0.216 x Jupiter,Unknown,Kepler-1217,Transit,,,19h16m44.80s,+50d56m15.2s,5905.0,1.06,1.08
3424,Kepler-718 b,4958.0,131 Jupiters,15.246,2016,Gas Giant,2016,131 Jupiters,1.477 x Jupiter,Unknown,,,,,,,,,
3425,Kepler-719 b,4655.0,0.172 Jupiters,15.904,2016,Gas Giant,2016,0.172 Jupiters,0.76 x Jupiter,Unknown,Kepler-1218,Transit,,,19h26m18.96s,+44d31m54.2s,5986.0,1.06,1.1
3426,Kepler-720 b,2871.0,0.168 Jupiters,15.164,2016,Gas Giant,2016,0.168 Jupiters,0.75 x Jupiter,Unknown,,,,,,,,,
3427,Kepler-721 b,2766.0,7.46 Earths,15.643,2016,Neptune-like,2016,7.46 Earths,0.236 x Jupiter,Unknown,Kepler-1219,Transit,,,19h48m51.79s,+47d22m42.7s,5944.0,1.25,1.94
3428,Kepler-722 b,4485.0,7.41 Earths,15.373,2016,Neptune-like,2016,7.41 Earths,0.235 x Jupiter,Unknown,,,,,,,,,
3429,Kepler-722 c,4485.0,8.35 Earths,15.373,2016,Neptune-like,2016,8.35 Earths,0.252 x Jupiter,Unknown,Kepler-122,Transit,,,19h24m26.85s,+39d56m56.8s,6050.0,,1.22
3430,Kepler-723 b,3148.0,Unknown,15.201,2016,Gas Giant,2016,Unknown,1.088 x Jupiter,Unknown,,,,,,,,,
3431,Kepler-724 b,2812.0,10.8 Earths,15.121,2016,Neptune-like,2016,10.8 Earths,0.294 x Jupiter,Unknown,Kepler-122,Transit,,,19h24m26.85s,+39d56m56.8s,6050.0,,1.22
3432,Kepler-725 b,2538.0,0.25 Jupiters,14.993,2016,Gas Giant,2016,0.25 Jupiters,0.948 x Jupiter,Unknown,,,,,,,,,
3433,Kepler-726 b,2734.0,10.7 Earths,15.035,2016,Neptune-like,2016,10.7 Earths,0.291 x Jupiter,Unknown,Kepler-122,Transit,,,19h24m26.85s,+39d56m56.8s,6050.0,,1.22
3434,Kepler-727 b,2910.0,6.94 Earths,15.352,2016,Neptune-like,2016,6.94 Earths,0.226 x Jupiter,Unknown,,,,,,,,,
3435,Kepler-728 b,4032.0,11.1 Earths,15.525,2016,Neptune-like,2016,11.1 Earths,0.298 x Jupiter,Unknown,Kepler-122,Transit,,,19h24m26.85s,+39d56m56.8s,6050.0,,1.22
3436,Kepler-729 b,4146.0,12.5 Earths,15.547,2016,Neptune-like,2016,12.5 Earths,0.319 x Jupiter,Unknown,,,,,,,,,
3437,Kepler-730 b,6590.0,Unknown,15.611,2016,Gas Giant,2016,Unknown,1.1 x Jupiter,0.0694 AU,Kepler-122,Transit Timing Variations,,,19h24m26.85s,+39d56m56.8s,6050.0,,1.22
3438,Kepler-730 c,6590.0,3.09 Earths,15.611,2018,Super Earth,2018,3.09 Earths,1.569 x Earth,0.03997 AU,,,,,,,,,
